property_id,listing_id,mls_id,address,city,state,zip_code,latitude,longitude,location,price,beds,baths,full_baths,sqft,lot_size,year_built,stories,property_type,ui_property_type,listing_type,mls_status,search_status,price_per_sqft,hoa_fee,days_on_market,time_on_redfin,sold_date,is_hot,has_virtual_tour,has_video_tour,has_3d_tour,is_new_construction,listing_broker,data_source_id,market_id,has_insight,url,scraped_at,data_type,price_per_bed,price_per_bath,sqft_per_bed,bed_bath_ratio,home_age,price_segment,size_segment
101005687,205529658,1848566,6047 Yosemite Dr,Golf Manor,OH,45237,,,Golf Manor,285000,4.0,2.0,2.0,1289.0,6970.0,1942.0,2.0,6,1,1,Active,1,221.0,,,"{'value': 662467196, 'level': 1}",1735027200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/6047-Yosemite-Dr-45237/home/101005687,2025-07-26T15:01:18.833482,active,71250.0,142500.0,322.25,2.0,82.0,Moderate,Medium
100972789,205526484,1848688,4813 Rapid Run Rd,Cincinnati,OH,45238,,,Covedale,249000,4.0,4.0,4.0,2642.0,5968.0,1910.0,3.0,4,4,1,Active,1,94.0,,,"{'value': 667635362, 'level': 1}",1585119600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/4813-Rapid-Run-Rd-45238/home/100972789,2025-07-26T15:01:18.833487,active,62250.0,62250.0,660.5,1.0,114.0,Moderate,Very_Large
76103146,205526229,1848180,3068 Jackfrost Way,Colerain Twp,OH,45251,,,Colerain Twp.East,209900,3.0,1.0,1.0,936.0,8451.0,1964.0,1.0,6,1,1,Active,1,224.0,,,"{'value': 667977130, 'level': 1}",1747206000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3068-Jackfrost-Way-45251/home/76103146,2025-07-26T15:01:18.833492,active,69966.66666666667,209900.0,312.0,3.0,60.0,Moderate,Small
100939794,205525732,1848257,5414 Jamies Oak Ct,Green Twp,OH,45248,,,Green Twp.,400000,4.0,2.5,2.0,2771.0,9148.0,2004.0,2.0,6,1,1,Active,1,144.0,20.0,,"{'value': 668697923, 'level': 1}",,False,False,False,False,False,,158,64,False,/OH/Cincinnati/5414-Jamies-Oak-Ct-45248/home/100939794,2025-07-26T15:01:18.833498,active,100000.0,160000.0,692.75,1.6,20.0,Upper_Mid,Very_Large
63726254,205524973,1848687,4247 W Eighth St,Cincinnati,OH,45205,,,Price Hill,245000,5.0,3.0,3.0,2983.0,7449.0,1918.0,3.0,4,4,1,Active,1,82.0,,,"{'value': 669042360, 'level': 1}",1595574000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/4247-W-8th-St-45205/home/63726254,2025-07-26T15:01:18.833504,active,49000.0,81666.66666666667,596.6,1.6666666666666667,106.0,Moderate,Very_Large
100966165,205524359,1845988,3916 Kirkup Ave,Cincinnati,OH,45213,,,Kennedy Hts.,275000,4.0,2.0,2.0,2046.0,7492.0,1948.0,2.0,4,4,1,Active,1,134.0,,,"{'value': 669759467, 'level': 1}",1677484800000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3916-Kirkup-Ave-45213/home/100966165,2025-07-26T15:01:18.833510,active,68750.0,137500.0,511.5,2.0,76.0,Moderate,Large
78748885,205522534,1848503,8774 Tanagerwoods Dr,Montgomery,OH,45249,,,Montgomery,646000,4.0,3.5,3.0,3218.0,21780.0,1977.0,2.0,6,1,1,Active,1,201.0,4.0,,"{'value': 672043205, 'level': 1}",866444400000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/8774-Tanagerwoods-Dr-45249/home/78748885,2025-07-26T15:01:18.833515,active,161500.0,184571.42857142858,804.5,1.1428571428571428,47.0,Luxury,Very_Large
76129828,205521756,1848677,7251 Miami Ave,Madeira,OH,45243,,,Madeira,514900,3.0,2.0,2.0,1192.0,16640.0,1951.0,1.0,6,1,1,Active,1,432.0,,,"{'value': 672295101, 'level': 1}",1744873200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/7251-Miami-Ave-45243/home/76129828,2025-07-26T15:01:18.833521,active,171633.33333333334,257450.0,397.3333333333333,1.5,73.0,Luxury,Small
100973699,205521755,1848345,None,Cincinnati,OH,45238,,,Covedale,269900,3.0,2.0,2.0,1810.0,5532.0,1939.0,,6,1,1,Active,1,149.0,,,"{'value': 672296919, 'level': 1}",1528354800000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/Undisclosed-address-45238/home/100973699,2025-07-26T15:01:18.833527,active,89966.66666666667,134950.0,603.3333333333334,1.5,85.0,Moderate,Large
100970289,205520656,1848644,3425 W Eighth St,Cincinnati,OH,45205,,,Price Hill,169000,4.0,2.0,2.0,2671.0,3267.0,1917.0,3.0,4,4,1,Active,1,63.0,,,"{'value': 673584572, 'level': 1}",1619679600000.0,False,True,True,False,False,,158,64,False,/OH/Cincinnati/3425-W-8th-St-45205/home/100970289,2025-07-26T15:01:18.833532,active,42250.0,84500.0,667.75,2.0,107.0,Moderate,Very_Large
196498089,205519650,1848607,2051 Tall Pines Ln,Anderson Twp,OH,45244,,,Anderson Twp.,835000,4.0,3.5,3.0,,12937.0,,1.0,6,1,1,Under Construction,1,,33.0,,"{'value': 674858534, 'level': 1}",,False,False,False,False,True,,158,64,False,/OH/Cincinnati/2051-Tall-Pines-Ln-45244/home/196498089,2025-07-26T15:01:18.833539,active,208750.0,238571.42857142858,,1.1428571428571428,,Ultra_Luxury,
76149528,205519649,1848628,3723 Hermes Dr,Colerain Twp,OH,45247,,,White Oak,205000,2.0,1.5,1.0,1197.0,7884.0,1961.0,1.0,6,1,1,Active,1,171.0,,,"{'value': 674858906, 'level': 1}",1697439600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3723-Hermes-Dr-45247/home/76149528,2025-07-26T15:01:18.833545,active,102500.0,136666.66666666666,598.5,1.3333333333333333,63.0,Moderate,Small
171326483,205519327,1848593,9835 Orchard Trl,Montgomery,OH,45242,,,Montgomery,1275000,3.0,2.5,2.0,3893.0,8712.0,,2.0,6,1,1,Active,1,328.0,272.0,,"{'value': 675250722, 'level': 1}",,False,False,False,False,True,,158,64,False,/OH/Montgomery/9835-Orchard-Trl-45242/home/171326483,2025-07-26T15:01:18.833551,active,425000.0,510000.0,1297.6666666666667,1.2,,Ultra_Luxury,Mansion
184892842,205517702,1848597,8847 Montgomery Rd,Sycamore Twp,OH,45236,,,Kenwood,695000,2.0,3.0,3.0,1660.0,13077.0,1994.0,2.0,3,2,1,Active,1,419.0,288.0,,"{'value': 677180095, 'level': 1}",1489993200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/8847-Montgomery-Rd-45236/home/184892842,2025-07-26T15:01:18.833557,active,347500.0,231666.66666666666,830.0,0.6666666666666666,30.0,Luxury,Medium
76095257,205517464,1848535,4408 Erie Ave,Cincinnati,OH,45227,,,Madisonville,699000,4.0,1.5,1.0,3370.0,26833.0,1894.0,3.0,6,1,1,Active,1,207.0,,,"{'value': 677453688, 'level': 1}",,False,False,False,False,False,,158,64,False,/OH/Cincinnati/4408-Erie-Ave-45227/home/76095257,2025-07-26T15:01:18.833563,active,174750.0,466000.0,842.5,2.6666666666666665,130.0,Luxury,Very_Large
78818610,205516108,1848643,2324 Madison Rd #1404,Cincinnati,OH,45208,,,Hyde Park,169000,1.0,1.0,1.0,882.0,335573.0,1963.0,1.0,3,2,1,Active,1,192.0,787.0,,"{'value': 678641342, 'level': 1}",1239778800000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/2324-Madison-Rd-45208/unit-1404/home/78818610,2025-07-26T15:01:18.833575,active,169000.0,169000.0,882.0,1.0,61.0,Moderate,Small
172422363,205513872,1848448,456 Grand Ave #2,Cincinnati,OH,45205,,,Price Hill,108000,1.0,1.0,1.0,,,1980.0,1.0,3,2,1,Active,1,,229.0,,"{'value': 681172316, 'level': 1}",1048838400000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/456-Grand-Ave-45205/unit-2/home/172422363,2025-07-26T15:01:18.833582,active,108000.0,108000.0,,1.0,44.0,Budget,
